PassengerId,HomePlanet,CryoSleep,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpend,Name,Transported,testset
0044_02,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,Kayne Coopelandez,1,0
0044_03,0,1,0,0,0,0,0,0,1,0,1,21,0,0,0,0,0,0,0,Cassa Coopelandez,1,0
0045_01,2,0,0,0,0,0,0,1,0,0,2,21,0,970,0,180,0,64,1214,Zelowl Chmad,0,0
0050_01,0,0,0,0,0,0,1,0,0,0,0,35,0,790,0,0,0,0,790,Sony Lancis,0,0
0051_01,0,0,0,0,0,0,1,0,0,0,2,56,0,0,112,0,1379,127,1618,Vivia Johnshines,0,0
0052_01,0,0,0,0,0,0,0,0,1,0,2,26,0,4,0,2,4683,0,4689,Elaney Hubbarton,0,0
0053_01,0,0,0,0,0,0,0,1,0,0,2,25,0,0,0,1938,0,1,1939,Elson Hickerson,1,0
0056_01,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Okulas Tractive,1,0
0056_02,1,1,1,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,Instab Tractive,1,0
0056_03,1,0,1,0,0,0,0,0,0,0,2,27,0,279,605,3374,286,3,4547,Zinoces Tractive,1,0
0058_01,0,1,0,0,0,0,0,0,1,0,1,36,0,0,0,0,0,0,0,Warry Ayalazquez,0,0
0061_01,0,0,0,0,0,0,0,1,0,0,2,22,0,45,1096,148,1377,1,2667,Shanya Salez,0,0
0062_01,0,0,0,0,0,0,0,1,0,0,2,62,0,0,592,0,17,25,634,Sterry Greeves,0,0
0064_01,2,1,0,0,0,0,0,1,0,0,2,15,0,0,0,0,0,0,0,,1,0
0066_01,0,0,0,0,0,0,0,0,1,0,2,62,0,1,153,197,0,460,811,Diandy Pecketton,0,0
0067_01,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Ninaha Leeves,1,0
0067_02,0,0,0,0,0,0,0,0,1,0,2,18,0,1,258,446,0,0,705,Celine Leeves,1,0
0067_03,0,0,0,0,0,0,0,1,0,0,0,21,0,1946,37,0,0,24,2007,Velyne Leeves,0,0
0068_01,2,0,0,0,0,0,1,0,0,0,2,26,0,793,0,2,253,0,1048,Cinst Binie,0,0
0069_01,0,0,0,0,0,0,0,1,0,0,2,42,0,887,0,9,6,0,902,,1,0
0070_01,0,0,0,0,0,0,0,1,0,0,2,19,0,190,0,5,1,726,922,Meremy Brighttt,0,0
0071_01,0,0,0,0,0,0,0,1,0,0,2,17,0,16,2165,0,0,52,2233,Nelly Dillines,0,0
0072_01,0,0,0,0,0,0,0,1,0,0,2,14,0,0,1,0,0,1063,1064,Thell Brantuarez,0,0
0073_01,2,0,0,0,0,1,0,0,0,0,1,37,0,46,83,738,0,12,879,Gorn Make,0,0
0074_01,1,0,0,0,1,0,0,0,0,0,2,42,0,1,8397,0,0,506,8904,Aldibah Mostedry,1,0
0076_01,2,0,0,0,0,0,0,1,0,0,2,27,0,147,0,1018,0,0,1165,Conk Dal,1,0
0077_01,2,0,0,0,0,0,0,1,0,0,2,28,0,14,0,1295,0,0,1309,Pon Blité,1,0
0078_01,1,0,0,0,1,0,0,0,0,0,2,38,0,0,5840,0,321,9654,15815,Spuri Pokerheed,0,0
0081_01,0,1,0,0,0,0,0,0,1,0,2,13,0,0,0,0,0,0,0,Dellie Vinozarks,0,0
0082_01,2,0,0,0,0,0,0,1,0,0,2,42,0,7406,0,0,0,0,7406,Totse Datte,0,0
0082_02,2,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,Eaturs Datte,1,0
0082_03,2,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,0,,1,0
0084_01,0,0,0,0,0,0,0,0,1,0,2,24,0,688,0,0,0,17,705,Coren Coopezmaney,1,0
0085_01,1,1,0,0,1,0,0,0,0,0,2,40,0,0,0,0,0,0,0,Furudah Ellcefulve,1,0
0086_01,0,0,0,0,0,0,0,1,0,0,2,43,0,211,0,0,638,513,1362,Jodye Kinson,0,0
0088_01,2,1,0,0,0,0,1,0,0,0,1,45,0,0,0,0,0,0,0,Stmeal Sacre,1,0
0090_01,0,1,0,0,0,0,0,0,1,0,2,35,0,0,0,0,0,0,0,Heremy Santry,1,0
0091_01,0,1,0,0,0,0,0,0,1,0,2,26,0,0,0,0,0,0,0,Deanne Yorkland,1,0
0091_02,0,0,0,0,0,0,0,1,0,0,2,27,0,1,697,31,188,0,917,Tinez Yorkland,0,0
0092_01,0,0,0,0,0,0,0,0,1,0,2,19,0,0,0,670,1,34,705,Gracy Dunnisey,0,0
0092_02,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,Stald Hewson,1,0
0092_03,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,Tiney Hewson,1,0
0097_01,1,0,1,0,0,0,0,0,0,0,2,54,0,0,1208,0,3,637,1848,Alchium Fictful,0,0
0098_01,0,0,0,0,0,0,0,0,1,0,2,26,0,0,856,5,32,0,893,Doria Carezquez,0,0
0098_02,0,0,0,0,0,0,0,0,1,0,2,26,0,0,2811,957,0,87,3855,Leence Carezquez,1,0
0099_01,0,0,0,0,0,0,0,1,0,0,1,23,0,311,427,526,37,0,1301,Aliey Leetersoney,0,0
0102_01,0,0,0,0,0,0,0,1,0,0,2,18,0,0,0,0,830,91,921,Ritany Holson,0,0
0103_01,0,0,0,0,0,0,0,1,0,0,2,24,0,0,0,0,0,17,17,Arlen Mclainez,1,0
0103_02,0,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,Shaele Mclainez,1,0
0103_03,0,1,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,Fanne Mclainez,0,0
0107_01,2,0,0,0,0,1,0,0,0,0,2,21,0,1743,5,17,0,0,1765,Coobix Hart,0,0
0108_01,0,1,0,0,0,0,0,0,1,0,2,23,0,0,0,0,0,0,0,Natald Handertiz,0,0
0108_02,0,0,0,0,0,0,0,0,1,0,2,31,0,562,0,326,0,0,888,,0,0
0110_03,1,0,0,1,0,0,0,0,0,0,2,42,0,2209,11418,0,1868,445,15940,Alaratz Aloubtled,1,0
0110_04,1,1,0,1,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,Izark Aloubtled,1,0
0111_01,1,1,0,0,0,0,1,0,0,0,2,29,0,0,0,0,0,0,0,Aldera Supred,1,0
0112_01,1,0,0,1,0,0,0,0,0,0,0,48,1,0,2537,87,17,13,2654,Moth Cowtale,1,0
0113_01,0,0,0,0,0,0,0,1,0,0,2,64,0,0,0,804,0,0,804,Idary Carvis,1,0
0114_01,0,0,0,0,0,0,0,0,1,0,2,27,0,82,157,429,238,1,907,Maura Beckerson,0,0
0116_01,1,0,0,0,0,1,0,0,0,0,2,33,0,1,2223,0,12,404,2640,Alhenah Suptive,1,0
0119_02,1,1,1,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,Kleeiak Coning,1,0
0120_01,2,1,0,0,0,0,0,1,0,0,2,24,0,0,0,0,0,0,0,Bees Sacre,1,0
0122_01,0,0,0,0,0,0,0,0,1,0,2,29,0,0,0,0,699,74,773,Shelle Hayder,0,0
0123_01,0,0,0,0,0,0,0,1,0,0,2,18,0,55,597,49,0,1,702,Iree Fielson,0,0
0126_01,2,1,0,0,0,0,0,1,0,0,2,67,0,0,0,0,0,0,0,Milly Mish,1,0
0127_01,2,0,0,0,0,0,1,0,0,0,2,35,0,701,0,296,0,25,1022,Miloss Mesty,0,0
0128_01,2,0,0,0,0,1,0,0,0,0,2,61,1,2353,334,9,316,2,3014,Grohs Fles,0,0
0128_02,2,0,0,0,0,0,1,0,0,0,2,45,0,2103,6,0,0,0,2109,Barave Fles,0,0
0129_01,0,1,0,0,0,0,0,0,1,0,1,22,0,0,0,0,0,0,0,Race Fowles,1,0
0133_01,2,1,0,0,0,0,0,1,0,0,2,19,0,0,0,0,0,0,0,Flynx Blie,1,0
0133_02,2,0,0,0,0,1,0,0,0,0,2,36,0,2738,0,0,0,0,2738,Egrasp Blie,0,0
0134_01,0,0,0,0,0,0,0,0,1,0,2,19,0,0,14,730,0,0,744,Camina Harmontry,1,0
0136_01,0,0,0,0,0,0,0,0,1,0,1,47,0,97,418,126,25,55,721,,0,0
0138_01,0,1,0,0,0,0,0,0,1,0,2,13,0,0,0,0,0,0,0,Fayene Gambs,1,0
0139_01,1,1,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,Charda Myling,1,0
0140_01,0,1,0,0,0,0,0,0,1,0,2,24,0,0,0,0,0,0,0,Evaley Mejiaddox,1,0
0140_02,0,0,0,0,0,0,0,1,0,0,2,26,0,440,0,0,0,462,902,Verney Whitakers,0,0
0141_01,2,0,0,0,0,0,0,1,0,0,2,31,0,0,0,97,0,0,97,Pyrohs Harte,0,0
0144_01,0,0,0,0,0,0,0,1,0,0,2,20,0,0,420,210,0,0,630,Guadae Dayers,1,0
0146_01,0,0,0,0,0,0,0,0,1,0,2,56,0,0,0,0,0,0,0,Verly Wolferguson,0,0
0147_01,0,1,0,0,0,0,0,0,1,0,2,50,0,0,0,0,0,0,0,Samie Hubbarrison,1,0
0148_01,2,0,0,0,0,0,0,1,0,0,2,42,0,1072,0,10,0,76,1158,Corsh Pashe,0,0
0149_01,0,1,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,Billya Hubbarrison,1,0
0151_01,0,1,0,0,0,0,0,0,1,0,0,38,0,0,0,0,0,0,0,Shanie Simson,0,0
0160_01,0,0,0,0,0,0,0,0,1,0,2,22,0,4119,0,0,0,61,4180,Gory Atkinney,0,0
0163_01,1,1,0,1,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,Kabiton Hetforhaft,1,0
0163_02,1,1,0,1,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,Scharab Hetforhaft,1,0
0164_01,0,0,0,0,0,0,0,0,1,0,2,57,0,50,1688,0,0,135,1873,Fany Hutchinton,1,0
0164_02,0,1,0,0,0,0,0,0,1,0,1,17,0,0,0,0,0,0,0,Ianya Hutchinton,0,0
0167_01,2,1,0,0,0,0,0,1,0,0,2,13,0,0,0,0,0,0,0,Miten Floaf,1,0
0167_02,2,0,0,0,0,0,0,1,0,0,2,27,0,1365,0,48,22,137,1572,Rios Floaf,0,0
0169_01,0,1,0,0,0,0,0,0,1,0,2,31,0,0,0,0,0,0,0,Wandy Fisherry,0,0
0170_01,0,0,0,0,0,0,1,0,0,0,2,24,0,0,0,0,221,567,788,Mollie Mcmahoney,0,0
0171_01,0,1,0,0,0,0,0,0,1,0,1,19,0,0,0,0,0,0,0,Coracy Gordanieves,1,0
0172_01,0,1,0,0,0,0,0,0,1,0,2,32,0,0,0,0,0,0,0,Hanna Johnshines,1,0
0174_01,0,0,0,0,0,0,0,1,0,0,0,21,0,287,0,16,115,175,593,Doryn Lambles,0,0
0177_01,1,0,0,1,0,0,0,0,0,0,2,38,0,0,10346,1,14970,2111,27428,Toperon Iniouser,0,0
0178_01,2,0,0,0,0,1,0,0,0,0,2,38,0,3414,0,161,28,119,3722,Wees Knik,0,0
0179_01,0,0,0,0,0,0,0,0,1,0,2,19,0,1,219,673,2,11,906,Elaney Webstephrey,1,0
0179_02,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,Raque Webstephrey,0,0
0179_03,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,Sallyl Webstephrey,1,0
0181_01,0,0,0,0,0,0,0,0,1,0,2,20,0,0,0,3,299,92,394,Nancis Brighttt,0,0
0182_01,1,1,0,0,1,0,0,0,0,0,2,24,0,0,0,0,0,0,0,Ksorab Disight,1,0
0183_01,0,0,0,0,0,0,0,1,0,0,2,37,0,17,146,426,0,232,821,Stany Weaves,1,0
0186_01,0,0,0,0,0,0,0,0,1,0,2,25,0,62,0,0,0,956,1018,Camiet Shephendry,0,0
0188_01,0,1,0,0,0,0,0,0,1,0,2,56,0,0,0,0,0,0,0,Branda Romez,1,0
0189_01,0,0,0,0,0,0,1,0,0,0,0,49,0,84,3,401,202,98,788,Helly Booters,0,0
0190_01,0,1,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,,0,0
0192_01,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,Tance Adavisons,1,0
0192_02,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,Robyny Adavisons,0,0
0192_03,0,0,0,0,0,0,0,0,1,0,2,39,0,0,0,10,898,0,908,Lilace Adavisons,0,0
0193_01,2,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,Sps Raf,1,0
0193_02,2,0,0,0,0,0,0,1,0,0,2,23,0,0,0,8,1072,0,1080,Frook Raf,0,0
0193_03,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,Goles Raf,1,0
0195_01,2,0,0,0,0,0,0,1,0,0,2,39,0,406,0,867,0,0,1273,Bar Floaf,1,0
0196_01,2,0,0,0,0,1,0,0,0,0,1,25,0,1052,0,719,0,7,1778,Caper Emead,0,0
0197_01,1,0,0,0,1,0,0,0,0,0,2,36,0,0,972,0,795,575,2342,Astrak Dissper,0,0
0199_01,0,1,0,0,0,0,0,0,1,0,2,18,0,0,0,0,0,0,0,Regana Morrows,0,0
0200_01,0,1,0,0,0,0,0,0,1,0,2,15,0,0,0,0,0,0,0,Elia Colomonson,1,0
0201_01,1,1,0,1,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,Kaffias Bacistion,1,0
0201_02,1,1,0,1,0,0,0,0,0,0,2,47,0,0,0,0,0,0,0,Edaruma Bacistion,1,0
0202_01,1,1,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,Pomera Embleng,1,0
0202_02,1,0,1,0,0,0,0,0,0,0,0,26,0,0,2433,0,878,443,3754,Vegas Embleng,1,0
0203_01,1,1,0,0,1,0,0,0,0,0,2,51,0,0,0,0,0,0,0,Ancham Heateele,1,0
0205_01,0,0,0,0,0,0,0,0,1,0,2,29,0,0,2,66,0,705,773,Carma Oneiles,0,0
0206_01,1,0,0,0,1,0,0,0,0,0,0,26,0,2,1720,12,1125,122,2981,Nuson Brugashed,1,0
0207_01,0,1,0,0,0,0,0,0,1,0,1,19,0,0,0,0,0,0,0,Thony Mcfaddennon,0,0
0211_01,2,0,0,0,0,0,0,1,0,0,2,29,0,902,1,137,0,0,1040,Pebuts Appie,1,0
0211_02,2,1,0,0,0,0,0,1,0,0,2,11,0,0,0,0,0,0,0,Corsh Appie,1,0
0211_03,2,0,0,0,0,0,0,1,0,0,2,17,0,848,0,307,182,0,1337,Picers Date,0,0
0212_01,0,0,0,0,0,0,1,0,0,0,2,13,0,192,0,0,51,739,982,Inen Workmans,0,0
0212_02,0,0,0,0,0,0,0,1,0,0,2,35,0,147,188,0,10,387,732,Shally Workmans,0,0
0213_01,0,0,0,0,0,0,0,1,0,0,2,21,0,367,281,0,0,146,794,Carita Navages,0,0
0216_01,0,0,0,0,0,0,0,1,0,0,0,21,0,0,56,0,0,1918,1974,Searla Garnes,0,0
0217_01,0,0,0,0,0,0,0,1,0,0,2,38,0,1517,0,0,27,0,1544,Prilly Shieldson,0,0
0219_01,0,1,0,0,0,0,0,0,1,0,2,19,0,0,0,0,0,0,0,Nica River,1,0
0220_01,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,Tyle Wilsoney,1,0
0220_02,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,Wena Wilsoney,1,0
0220_03,0,1,0,0,0,0,0,0,1,0,2,13,0,0,0,0,0,0,0,Branca Wilsoney,0,0
0220_04,0,0,0,0,0,0,1,0,0,0,2,25,0,122,84,0,0,0,206,Dont Wilsoney,0,0
0220_05,0,0,0,0,0,0,0,1,0,0,2,16,0,0,3,0,0,1099,1102,Velyne Wilsoney,0,0
0220_06,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Weney Wilsoney,0,0
0220_07,0,1,0,0,0,0,0,0,1,0,2,15,0,0,0,0,0,0,0,Guye Wilsoney,1,0
0221_01,2,0,0,0,0,0,1,0,0,0,0,21,0,2237,0,119,0,0,2356,Cowhex Blan,0,0
0221_02,2,0,0,0,0,0,1,0,0,0,2,23,0,1215,80,1,2,0,1298,Yogark Reke,0,0
0221_03,2,0,0,0,0,0,1,0,0,0,2,33,0,1933,12,188,1,0,2134,Jacks Reke,0,0
0221_04,2,1,0,0,0,0,1,0,0,0,2,21,0,0,0,0,0,0,0,Eerch Reke,1,0
0221_05,2,0,0,0,0,0,1,0,0,0,2,41,0,1230,0,301,43,1023,2597,Panbug Reke,0,0
0221_06,2,0,0,0,0,0,1,0,0,0,2,16,0,915,0,221,234,0,1370,Gran Reke,0,0
0221_07,2,1,0,0,0,0,1,0,0,0,2,42,0,0,0,0,0,0,0,Rohs Reke,0,0
0222_01,2,0,0,0,0,0,0,1,0,0,2,20,0,1406,0,0,11,0,1417,Gone Perte,0,0
0222_02,2,1,0,0,0,0,0,1,0,0,2,24,0,0,0,0,0,0,0,Colf Deva,1,0
0222_03,2,1,0,0,0,0,1,0,0,0,2,16,0,0,0,0,0,0,0,Grake Perte,1,0
0223_01,0,0,0,0,0,0,0,0,1,0,2,21,0,0,2,665,0,9,676,Evan Sykess,0,0
0224_01,2,0,0,0,0,0,0,1,0,0,2,32,1,181,0,5,1634,0,1820,Blues Queen,0,0
0225_01,0,1,0,0,0,0,0,0,1,0,1,58,0,0,0,0,0,0,0,Carly Hortis,1,0
0229_01,0,0,0,0,0,0,0,1,0,0,2,24,0,4,7,0,713,79,803,Done Sellahaney,0,0
0231_01,2,0,0,0,0,0,0,1,0,0,2,30,0,85,0,1,1720,0,1806,Krus Nate,0,0
0232_01,0,1,0,0,0,0,0,0,1,0,1,27,0,0,0,0,0,0,0,Nica Bakerrison,0,0
0233_01,2,0,0,0,0,0,0,1,0,0,2,32,0,56,0,256,1438,0,1750,Teda Wist,0,0
0234_01,0,0,0,0,0,0,0,1,0,0,2,43,0,0,888,0,0,0,888,Keitha Josey,0,0
0237_01,1,1,0,1,0,0,0,0,0,0,2,42,0,0,0,0,0,0,0,Weias Aginge,1,0
0240_01,2,1,0,0,0,0,0,1,0,0,2,35,0,0,0,0,0,0,0,Puffes Crie,1,0
0243_01,0,1,0,0,0,0,0,0,1,0,2,21,0,0,0,0,0,0,0,Lilace Cartyernan,0,0
0245_01,1,0,0,0,1,0,0,0,0,0,0,46,0,0,3571,0,0,7,3578,Glueba Repumparte,1,0
0245_02,1,0,0,0,1,0,0,0,0,0,2,33,0,0,86,796,584,10912,12378,Anchib Repumparte,0,0
0246_01,2,0,0,0,0,1,0,0,0,0,2,21,0,2947,0,287,27,0,3261,Mele Sesa,0,0
0248_01,1,0,0,0,1,0,0,0,0,0,2,33,0,0,1,0,8620,1063,9684,Genifi Spanxibus,0,0
0250_01,0,1,0,0,0,0,0,0,1,0,1,47,0,0,0,0,0,0,0,Camily Kramosley,0,0
0252_01,0,0,0,0,0,0,0,1,0,0,2,30,0,335,695,541,0,0,1571,Leenny Byerry,0,0
0253_01,0,0,0,0,0,0,0,0,1,0,2,29,0,272,615,0,0,1,888,Dawne Cardner,0,0
0254_01,0,0,0,0,0,0,0,1,0,0,2,21,0,702,172,408,2,6,1290,Race Stenson,1,0
0255_01,1,1,1,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,Ashir Mingious,1,0
0257_01,2,0,0,0,0,0,0,1,0,0,0,21,0,1664,0,0,0,0,1664,Errohs Berte,0,0
0257_02,2,1,0,0,0,0,0,1,0,0,2,60,0,0,0,0,0,0,0,Squars Berte,1,0
0258_01,0,0,0,0,0,0,0,1,0,0,2,22,0,0,0,313,299,92,704,Feryla Cooperkins,0,0
0260_01,1,0,0,0,0,0,1,0,0,0,2,26,0,0,4810,0,981,2054,7845,Segino Inderly,0,0
0261_01,0,0,0,0,0,0,0,1,0,0,2,26,0,66,29,0,0,803,898,Dord Bookerson,0,0
0263_01,0,1,0,0,0,0,0,0,1,0,2,28,0,0,0,0,0,0,0,Maen Merkins,1,0
0265_01,1,1,0,0,0,1,0,0,0,0,2,39,0,0,0,0,0,0,0,Etair Herpumble,1,0
0267_01,0,0,0,0,0,0,0,1,0,0,2,13,0,118,0,0,754,1,873,Lilace Sancockett,0,0
0269_01,0,0,0,0,0,0,0,1,0,0,0,47,0,0,231,592,0,0,823,Lerome Polliamposs,1,0
0270_01,0,0,0,0,0,0,0,1,0,0,2,63,0,0,25,128,0,1240,1393,Cathya Fryersonis,0,0
0275_01,1,1,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,Terf Obnoble,1,0
0277_01,0,0,0,0,0,0,0,1,0,0,0,50,0,44,2390,0,53,0,2487,Byront Mcdanield,1,0
0278_02,0,0,0,0,0,0,0,0,1,0,2,45,0,0,97,0,14,333,444,Marice Beachez,0,0
0281_01,0,0,0,0,0,0,0,1,0,0,2,19,0,0,0,2078,0,0,2078,Derine Pierry,1,0
0282_01,0,0,0,0,0,0,0,1,0,0,2,21,0,0,918,0,0,0,918,Valex Baketton,1,0
0283_01,0,1,0,0,0,0,0,0,1,0,1,29,0,0,0,0,0,0,0,Jacky Santin,1,0
0283_02,0,0,0,0,0,0,0,1,0,0,2,22,0,146,654,1,0,2,803,Roydo Santin,1,0
0285_01,1,1,0,0,0,0,1,0,0,0,2,14,0,0,0,0,0,0,0,Krabik Invebodene,1,0
0285_02,1,1,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0,0,Grasath Invebodene,1,0
0286_01,0,0,0,0,0,0,0,1,0,0,0,57,0,3,1281,29,162,13,1488,Carita Jimes,0,0
0287_02,1,0,0,1,0,0,0,0,0,0,2,28,0,0,587,32,6,1460,2085,Alasym Bootty,0,0
0288_01,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,828,828,Gory Delez,0,0
0289_01,1,1,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,Furuson Objeciane,1,0
0290_01,1,0,0,1,0,0,0,0,0,0,0,26,0,0,4458,0,1157,262,5877,Skaton Excialing,1,0
0290_02,1,1,0,1,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,Algor Excialing,1,0
0290_04,1,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,Atino Excialing,1,0
0291_01,1,0,0,0,0,1,0,0,0,0,2,40,0,0,6500,88,1090,0,7678,Castab Brakeril,1,0
