PassengerId,HomePlanet,CryoSleep,Cabin,Cabin_num,Cabin_port,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,TotalExpense
0102_01,0,0,5,23,1,2,18,0,0,0,0,830,91,Ritany Holson,0,921
0103_02,0,1,6,18,1,0,9,0,0,0,0,0,0,Shaele Mclainez,1,0
0103_03,0,1,6,18,1,2,6,0,0,0,0,0,0,Fanne Mclainez,0,0
0107_01,2,0,3,2,1,2,21,0,1743,5,17,0,0,Coobix Hart,0,1765
0108_01,0,1,6,19,1,2,23,0,0,0,0,0,0,Natald Handertiz,0,0
0108_02,0,0,6,19,1,2,31,0,562,0,326,0,0,,0,888
0110_03,1,0,1,5,0,2,42,0,2209,11418,0,1868,445,Alaratz Aloubtled,1,15940
0110_04,1,1,1,5,0,2,28,0,0,0,0,0,0,Izark Aloubtled,1,0
0111_01,1,1,4,6,1,2,29,0,0,0,0,0,0,Aldera Supred,1,0
0112_01,1,0,1,1,1,0,48,1,0,2537,87,17,13,Moth Cowtale,1,2654
0113_01,0,0,5,23,0,2,64,0,0,0,804,0,0,Idary Carvis,1,804
0114_01,0,0,6,20,1,2,27,0,82,157,429,238,1,Maura Beckerson,0,907
0116_01,1,0,3,4,0,2,33,0,1,2223,0,12,404,Alhenah Suptive,1,2640
0119_02,1,1,0,0,0,2,13,0,0,0,0,0,0,Kleeiak Coning,1,0
0122_01,0,0,6,21,1,2,29,0,0,0,0,699,74,Shelle Hayder,0,773
0123_01,0,0,5,27,0,2,18,0,55,597,49,0,1,Iree Fielson,0,702
0126_01,2,1,5,27,1,2,67,0,0,0,0,0,0,Milly Mish,1,0
0127_01,2,0,4,7,1,2,35,0,701,0,296,0,25,Miloss Mesty,0,1022
0128_01,2,0,3,3,1,2,61,1,2353,334,9,316,2,Grohs Fles,0,3014
0128_02,2,0,4,8,1,2,45,0,2103,6,0,0,0,Barave Fles,0,2109
0133_01,2,1,5,29,1,2,19,0,0,0,0,0,0,Flynx Blie,1,0
0133_02,2,0,3,5,1,2,36,0,2738,0,0,0,0,Egrasp Blie,0,2738
0134_01,0,0,6,17,0,2,19,0,0,14,730,0,0,Camina Harmontry,1,744
0136_01,0,0,6,23,1,1,47,0,97,418,126,25,55,,0,721
0138_01,0,1,6,18,0,2,13,0,0,0,0,0,0,Fayene Gambs,1,0
0139_01,1,1,2,6,1,0,35,0,0,0,0,0,0,Charda Myling,1,0
0140_01,0,1,6,19,0,2,24,0,0,0,0,0,0,Evaley Mejiaddox,1,0
0140_02,0,0,5,29,0,2,26,0,440,0,0,0,462,Verney Whitakers,0,902
0144_01,0,0,5,31,1,2,20,0,0,420,210,0,0,Guadae Dayers,1,630
0146_01,0,0,6,25,1,2,56,0,0,0,0,0,0,Verly Wolferguson,0,0
0147_01,0,1,6,26,1,2,50,0,0,0,0,0,0,Samie Hubbarrison,1,0
0148_01,2,0,5,31,0,2,42,0,1072,0,10,0,76,Corsh Pashe,0,1158
0151_01,0,1,6,20,0,0,38,0,0,0,0,0,0,Shanie Simson,0,0
0160_01,0,0,6,22,0,2,22,0,4119,0,0,0,61,Gory Atkinney,0,4180
0163_01,1,1,1,8,0,2,26,0,0,0,0,0,0,Kabiton Hetforhaft,1,0
0163_02,1,1,1,8,0,2,17,0,0,0,0,0,0,Scharab Hetforhaft,1,0
0164_02,0,1,6,28,1,1,17,0,0,0,0,0,0,Ianya Hutchinton,0,0
0167_01,2,1,5,35,1,2,13,0,0,0,0,0,0,Miten Floaf,1,0
0167_02,2,0,5,35,1,2,27,0,1365,0,48,22,137,Rios Floaf,0,1572
0169_01,0,1,6,23,0,2,31,0,0,0,0,0,0,Wandy Fisherry,0,0
0170_01,0,0,4,10,1,2,24,0,0,0,0,221,567,Mollie Mcmahoney,0,788
0171_01,0,1,6,30,1,1,19,0,0,0,0,0,0,Coracy Gordanieves,1,0
0172_01,0,1,6,24,0,2,32,0,0,0,0,0,0,Hanna Johnshines,1,0
0174_01,0,0,5,38,0,0,21,0,287,0,16,115,175,Doryn Lambles,0,593
0177_01,1,0,1,2,1,2,38,0,0,10346,1,14970,2111,Toperon Iniouser,0,27428
0178_01,2,0,3,6,1,2,38,0,3414,0,161,28,119,Wees Knik,0,3722
0179_01,0,0,6,26,0,2,19,0,1,219,673,2,11,Elaney Webstephrey,1,906
0179_02,0,0,6,26,0,2,0,0,0,0,0,0,0,Raque Webstephrey,0,0
0179_03,0,0,6,26,0,2,3,0,0,0,0,0,0,Sallyl Webstephrey,1,0
0181_01,0,0,6,27,0,2,20,0,0,0,3,299,92,Nancis Brighttt,0,394
0182_01,1,1,2,3,0,2,24,0,0,0,0,0,0,Ksorab Disight,1,0
0183_01,0,0,5,36,1,2,37,0,17,146,426,0,232,Stany Weaves,1,821
0186_01,0,0,6,28,0,2,25,0,62,0,0,0,956,Camiet Shephendry,0,1018
0188_01,0,1,6,31,1,2,56,0,0,0,0,0,0,Branda Romez,1,0
0189_01,0,0,4,8,0,0,49,0,84,3,401,202,98,Helly Booters,0,788
0190_01,0,1,6,32,1,0,11,0,0,0,0,0,0,,0,0
0192_01,0,1,6,29,0,2,1,0,0,0,0,0,0,Tance Adavisons,1,0
0192_02,0,0,6,29,0,2,8,0,0,0,0,0,0,Robyny Adavisons,0,0
0192_03,0,0,6,29,0,2,39,0,0,0,10,898,0,Lilace Adavisons,0,908
0193_01,2,1,5,41,0,2,2,0,0,0,0,0,0,Sps Raf,1,0
0193_03,2,0,5,41,0,2,0,0,0,0,0,0,0,Goles Raf,1,0
0195_01,2,0,5,42,0,2,39,0,406,0,867,0,0,Bar Floaf,1,1273
0196_01,2,0,3,5,0,1,25,0,1052,0,719,0,7,Caper Emead,0,1778
0197_01,1,0,2,5,0,2,36,0,0,972,0,795,575,Astrak Dissper,0,2342
0199_01,0,1,6,33,1,2,18,0,0,0,0,0,0,Regana Morrows,0,0
0200_01,0,1,6,31,0,2,15,0,0,0,0,0,0,Elia Colomonson,1,0
0201_01,1,1,1,3,1,2,35,0,0,0,0,0,0,Kaffias Bacistion,1,0
0201_02,1,1,1,3,1,2,47,0,0,0,0,0,0,Edaruma Bacistion,1,0
0202_01,1,1,1,9,0,0,45,0,0,0,0,0,0,Pomera Embleng,1,0
0203_01,1,1,2,8,1,2,51,0,0,0,0,0,0,Ancham Heateele,1,0
0205_01,0,0,6,34,1,2,29,0,0,2,66,0,705,Carma Oneiles,0,773
0207_01,0,1,6,32,0,1,19,0,0,0,0,0,0,Thony Mcfaddennon,0,0
0211_01,2,0,5,44,0,2,29,0,902,1,137,0,0,Pebuts Appie,1,1040
0211_02,2,1,5,44,0,2,11,0,0,0,0,0,0,Corsh Appie,1,0
0211_03,2,0,5,44,0,2,17,0,848,0,307,182,0,Picers Date,0,1337
0212_01,0,0,4,9,0,2,13,0,192,0,0,51,739,Inen Workmans,0,982
0212_02,0,0,5,45,0,2,35,0,147,188,0,10,387,Shally Workmans,0,732
0213_01,0,0,5,46,0,2,21,0,367,281,0,0,146,Carita Navages,0,794
0216_01,0,0,5,40,1,0,21,0,0,56,0,0,1918,Searla Garnes,0,1974
0217_01,0,0,5,47,0,2,38,0,1517,0,0,27,0,Prilly Shieldson,0,1544
0219_01,0,1,6,36,0,2,19,0,0,0,0,0,0,Nica River,1,0
0220_01,0,1,6,37,0,2,2,0,0,0,0,0,0,Tyle Wilsoney,1,0
0220_02,0,0,6,37,0,2,0,0,0,0,0,0,0,Wena Wilsoney,1,0
0220_03,0,1,6,37,0,2,13,0,0,0,0,0,0,Branca Wilsoney,0,0
0220_05,0,0,5,48,0,2,16,0,0,3,0,0,1099,Velyne Wilsoney,0,1102
0220_06,0,0,6,37,0,0,1,0,0,0,0,0,0,Weney Wilsoney,0,0
0220_07,0,1,6,37,0,2,15,0,0,0,0,0,0,Guye Wilsoney,1,0
0221_01,2,0,4,13,1,0,21,0,2237,0,119,0,0,Cowhex Blan,0,2356
0221_02,2,0,4,13,1,2,23,0,1215,80,1,2,0,Yogark Reke,0,1298
0221_03,2,0,4,13,1,2,33,0,1933,12,188,1,0,Jacks Reke,0,2134
0221_04,2,1,4,13,1,2,21,0,0,0,0,0,0,Eerch Reke,1,0
0221_05,2,0,4,13,1,2,41,0,1230,0,301,43,1023,Panbug Reke,0,2597
0221_06,2,0,4,13,1,2,16,0,915,0,221,234,0,Gran Reke,0,1370
0221_07,2,1,4,13,1,2,42,0,0,0,0,0,0,Rohs Reke,0,0
0222_01,2,0,5,41,1,2,20,0,1406,0,0,11,0,Gone Perte,0,1417
0222_02,2,1,5,41,1,2,24,0,0,0,0,0,0,Colf Deva,1,0
0222_03,2,1,4,14,1,2,16,0,0,0,0,0,0,Grake Perte,1,0
0223_01,0,0,6,35,1,2,21,0,0,2,665,0,9,Evan Sykess,0,676
0224_01,2,0,5,42,1,2,32,1,181,0,5,1634,0,Blues Queen,0,1820
0225_01,0,1,6,38,0,1,58,0,0,0,0,0,0,Carly Hortis,1,0
0229_01,0,0,5,43,1,2,24,0,4,7,0,713,79,Done Sellahaney,0,803
0231_01,2,0,5,44,1,2,30,0,85,0,1,1720,0,Krus Nate,0,1806
0233_01,2,0,5,45,1,2,32,0,56,0,256,1438,0,Teda Wist,0,1750
0237_01,1,1,1,11,0,2,42,0,0,0,0,0,0,Weias Aginge,1,0
0240_01,2,1,5,52,0,2,35,0,0,0,0,0,0,Puffes Crie,1,0
0243_01,0,1,6,37,1,2,21,0,0,0,0,0,0,Lilace Cartyernan,0,0
0245_01,1,0,2,6,0,0,46,0,0,3571,0,0,7,Glueba Repumparte,1,3578
0245_02,1,0,2,6,0,2,33,0,0,86,796,584,10912,Anchib Repumparte,0,12378
0246_01,2,0,3,8,0,2,21,0,2947,0,287,27,0,Mele Sesa,0,3261
0248_01,1,0,2,10,1,2,33,0,0,1,0,8620,1063,Genifi Spanxibus,0,9684
0252_01,0,0,5,53,0,2,30,0,335,695,541,0,0,Leenny Byerry,0,1571
0253_01,0,0,6,42,0,2,29,0,272,615,0,0,1,Dawne Cardner,0,888
0254_01,0,0,5,54,0,2,21,0,702,172,408,2,6,Race Stenson,1,1290
0255_01,1,1,0,3,1,2,24,0,0,0,0,0,0,Ashir Mingious,1,0
0257_02,2,1,5,49,1,2,60,0,0,0,0,0,0,Squars Berte,1,0
0258_01,0,0,5,50,1,2,22,0,0,0,313,299,92,Feryla Cooperkins,0,704
0260_01,1,0,4,16,1,2,26,0,0,4810,0,981,2054,Segino Inderly,0,7845
0261_01,0,0,5,56,0,2,26,0,66,29,0,0,803,Dord Bookerson,0,898
0263_01,0,1,6,43,0,2,28,0,0,0,0,0,0,Maen Merkins,1,0
0267_01,0,0,5,51,1,2,13,0,118,0,0,754,1,Lilace Sancockett,0,873
0269_01,0,0,5,52,1,0,47,0,0,231,592,0,0,Lerome Polliamposs,1,823
0270_01,0,0,5,59,0,2,63,0,0,25,128,0,1240,Cathya Fryersonis,0,1393
0277_01,0,0,5,61,0,0,50,0,44,2390,0,53,0,Byront Mcdanield,1,2487
0278_02,0,0,6,45,0,2,45,0,0,97,0,14,333,Marice Beachez,0,444
0281_01,0,0,5,63,0,2,19,0,0,0,2078,0,0,Derine Pierry,1,2078
0282_01,0,0,5,54,1,2,21,0,0,918,0,0,0,Valex Baketton,1,918
0283_01,0,1,6,46,0,1,29,0,0,0,0,0,0,Jacky Santin,1,0
0283_02,0,0,5,64,0,2,22,0,146,654,1,0,2,Roydo Santin,1,803
0285_01,1,1,4,16,0,2,14,0,0,0,0,0,0,Krabik Invebodene,1,0
0285_02,1,1,4,16,0,0,42,0,0,0,0,0,0,Grasath Invebodene,1,0
0286_01,0,0,5,65,0,0,57,0,3,1281,29,162,13,Carita Jimes,0,1488
0287_02,1,0,1,12,0,2,28,0,0,587,32,6,1460,Alasym Bootty,0,2085
0288_01,0,0,5,55,1,0,19,0,0,0,0,0,828,Gory Delez,0,828
0289_01,1,1,2,12,1,0,19,0,0,0,0,0,0,Furuson Objeciane,1,0
0290_01,1,0,1,7,1,0,26,0,0,4458,0,1157,262,Skaton Excialing,1,5877
0290_02,1,1,1,7,1,2,17,0,0,0,0,0,0,Algor Excialing,1,0
0290_04,1,0,1,7,1,0,9,0,0,0,0,0,0,Atino Excialing,1,0
0291_01,1,0,3,10,1,2,40,0,0,6500,88,1090,0,Castab Brakeril,1,7678
0297_01,0,0,6,47,0,2,24,0,90,2,1324,17,0,Ernice Gardonadox,1,1433
0298_01,1,1,0,3,0,0,57,0,0,0,0,0,0,Ashird Sorbitter,1,0
0302_01,0,0,5,67,0,2,23,0,0,0,15,0,1370,Lesley Shephendry,0,1385
0304_01,1,0,4,18,1,2,28,0,0,422,0,1851,5166,Betena Ausivetpul,0,7439
0305_01,1,0,2,7,0,0,23,0,0,584,0,20,2469,Suhelik Geousker,0,3073
0306_01,0,0,4,19,1,2,23,0,368,175,259,1,101,Dony Estevesters,0,904
0307_01,0,0,5,59,1,2,18,0,0,0,1359,0,0,Natald Hickett,1,1359
0309_01,0,0,5,60,1,2,18,0,1194,0,157,6,0,Billya Bowerson,0,1357
0313_01,0,0,5,68,0,1,60,0,7,540,1,0,4,Briney Mckinsond,1,552
0313_03,0,0,5,68,0,0,49,0,331,0,0,318,0,Jaimer Mckinsond,1,649
0313_04,0,0,6,50,0,0,0,0,0,0,0,0,0,Hary Mckinsond,1,0
0314_01,0,0,6,51,0,0,26,0,386,0,74,0,1330,Kell Kochroeders,0,1790
0322_01,0,1,6,45,1,1,13,0,0,0,0,0,0,Annya Blange,0,0
0324_01,0,1,6,53,0,0,43,0,0,0,0,0,0,Carma Hooperez,0,0
0326_01,0,1,6,47,1,2,29,0,0,0,0,0,0,Charly Edwartizman,0,0
0330_01,1,0,2,14,1,2,2,0,0,0,0,0,0,Bellah Siveduced,1,0
0330_02,1,0,2,14,1,2,32,0,247,4651,0,46,202,,1,5146
0330_03,1,0,2,14,1,2,33,0,443,317,0,148,1260,Hekaton Siveduced,0,2168
0331_01,0,0,5,72,0,2,25,0,0,0,251,0,552,Lewise Burchard,0,803
0333_01,2,1,5,73,0,0,29,0,0,0,0,0,0,Phios Melie,1,0
0334_01,2,0,5,62,1,2,29,0,5715,2,211,1476,0,Unfly Mushe,0,7404
0336_01,0,0,5,74,0,2,44,0,695,1,16,0,0,Maura Cookson,0,712
0337_01,2,1,5,63,1,0,2,0,0,0,0,0,0,Guanch Perle,1,0
0337_02,2,0,5,63,1,2,19,0,417,349,634,3,1057,Weros Perle,1,2460
0337_03,2,0,5,63,1,0,0,0,0,0,0,0,0,,1,0
0340_01,1,1,1,10,1,0,38,0,0,0,0,0,0,Pentard Poille,1,0
0341_01,0,1,6,57,0,1,5,0,0,0,0,0,0,Lorian Webstephrey,0,0
0343_01,0,0,5,76,0,1,31,0,121,0,0,274,907,Meremy Salez,0,1302
0345_01,2,1,4,21,1,2,30,0,0,0,0,0,0,Berios Racke,0,0
0346_01,0,1,6,59,0,0,15,0,0,0,0,0,0,Lynney Chanan,1,0
0347_01,2,0,5,64,1,2,27,0,434,0,1434,0,0,Cousk Kraie,0,1868
0348_01,2,0,3,12,0,2,22,0,142,2876,202,3,0,Stray Mane,1,3223
0350_01,0,1,6,60,0,1,14,0,0,0,0,0,0,Loresa Burchanez,1,0
0352_01,2,0,5,78,0,2,23,0,2001,0,2975,0,0,Hits Strad,0,4976
0356_01,1,1,1,15,0,0,36,0,0,0,0,0,0,Pharmus Gloyanthy,1,0
0358_01,0,1,6,50,1,2,50,0,0,0,0,0,0,Ronna Connon,1,0
0358_02,0,1,6,50,1,1,32,0,0,0,0,0,0,Dandy Connon,1,0
0359_01,0,0,5,66,1,1,26,0,148,0,453,0,88,Celine Popez,0,689
0360_01,0,0,5,67,1,2,15,0,358,212,33,0,112,Elancy Staffersby,0,715
0361_01,0,0,5,68,1,0,33,0,0,36,0,280,417,Virgie Headardyer,1,733
0368_01,2,0,5,82,0,2,26,0,2832,107,4447,15,4,Resers Perte,0,7405
0368_02,2,1,5,82,0,2,61,0,0,0,0,0,0,Batech Perte,1,0
0369_01,0,0,6,53,1,2,24,0,0,0,592,177,58,Veroy Pottonalden,1,827
0370_01,0,0,5,83,0,2,30,0,0,95,0,441,1023,Tine Coffmaney,0,1559
0371_01,2,1,5,84,0,2,24,0,0,0,0,0,0,Chrey Dutte,1,0
0372_01,0,0,5,85,0,2,24,0,0,5,0,2766,0,,0,2771
0373_01,0,1,6,62,0,2,41,0,0,0,0,0,0,Billex Mcneiderson,0,0
0375_01,0,0,4,22,0,2,20,0,0,0,558,0,230,Luzel Vincenton,0,788
0376_01,0,0,6,54,1,2,22,0,116,0,786,6,0,Francy Spentley,1,908
0377_01,1,0,2,15,1,0,63,0,0,1068,0,176,8188,Wezncha Excialing,0,9432
0378_01,1,0,1,11,1,0,18,0,17,215,4,5132,697,Bram Pirejus,0,6065
0378_02,1,1,1,11,1,0,21,0,0,0,0,0,0,Marfak Pirejus,1,0
0378_03,1,0,1,11,1,2,79,0,5649,235,7,2579,2175,Naslon Pirejus,0,10645
0378_04,1,1,1,11,1,2,56,0,0,0,0,0,0,Muonons Pirejus,1,0
0378_05,1,1,1,11,1,2,13,0,0,0,0,0,0,Polaton Pirejus,1,0
0378_06,1,0,1,11,1,2,33,0,0,2491,6,1173,1059,Sollum Pirejus,0,4729
0378_07,1,1,1,11,1,2,32,0,0,0,0,0,0,Achib Pirejus,1,0
0379_01,0,0,6,63,0,2,31,0,198,0,591,0,164,Brita Moodson,1,953
0381_01,1,1,1,16,0,0,18,0,0,0,0,0,0,Mesatan Mosteraked,1,0
0383_01,0,0,6,55,1,2,28,0,82,773,0,3693,140,Phia Wagnerray,0,4688
0383_02,0,1,6,55,1,1,34,0,0,0,0,0,0,Evane Wagnerray,0,0
0384_01,0,0,6,56,1,0,0,0,0,0,0,0,0,Cliney Simpsonks,1,0
0384_02,0,0,6,56,1,2,14,0,3,0,881,25,0,Ellard Simpsonks,1,909
0385_01,0,0,6,65,0,2,23,0,13,747,0,0,128,Tanley Klinson,0,888
0387_01,0,1,6,66,0,2,49,0,0,0,0,0,0,Verek Merce,0,0
0388_01,0,1,6,57,1,2,14,0,0,0,0,0,0,Fanna Sullones,0,0
0389_01,0,0,4,23,0,2,18,0,391,44,356,0,0,Elanda Savaraldez,0,791
0391_01,1,0,2,9,0,1,27,1,69,5728,0,0,987,Dabik Cowsearney,1,6784
0392_01,0,0,4,24,0,2,48,0,0,111,0,1508,0,Ward Carreralend,0,1619
0395_01,1,0,1,17,0,0,31,1,0,11003,552,8157,5688,Meropus Hervel,0,25400
0395_02,1,0,1,17,0,0,61,0,1,608,0,3835,1,Hadyon Hervel,0,4445
0396_01,0,1,6,59,1,2,18,0,0,0,0,0,0,Brinez Robins,1,0
0397_01,2,1,5,69,1,2,45,0,0,0,0,0,0,Graw Mepie,1,0
0398_01,2,0,3,13,1,2,22,0,28,420,36,6011,3,Wales Tité,0,6498
0401_01,2,0,3,14,1,2,30,1,1056,0,0,0,0,Luse Pimne,0,1056
0401_02,2,0,3,14,1,2,30,0,1770,0,0,13,0,Parney Pimne,0,1783
0403_01,2,0,3,13,0,2,43,1,353,896,0,0,2,Push Wate,1,1251
0407_02,0,0,5,90,0,2,20,0,0,465,0,5,223,Luzel Mirez,0,693
0407_03,0,1,6,69,0,2,39,0,0,0,0,0,0,Dennya Mirez,0,0
0408_01,2,0,4,25,0,2,35,0,1134,113,52,0,0,Cus Ble,0,1299
0409_01,2,0,5,71,1,2,31,0,0,0,1116,2,0,Mats Iccle,0,1118
0410_01,0,0,5,72,1,0,21,0,0,150,0,567,0,Tyrona Roachoanand,0,717
0411_01,0,0,5,91,0,2,16,0,691,0,101,140,0,Benny Rushorney,0,932
0412_01,1,0,2,11,0,2,60,0,0,7255,5952,1537,0,Baton Quelfly,1,14744
0413_01,0,0,5,92,0,2,18,0,0,157,0,352,60,Elina Steinardson,0,569
0415_01,0,1,6,60,1,2,42,0,0,0,0,0,0,Iney Pierry,0,0
0417_01,1,1,1,18,0,0,68,0,0,0,0,0,0,Lesatik Poicaptic,1,0
0417_02,1,0,1,18,0,0,22,0,0,1170,0,5467,1241,Mirark Unhearfus,0,7878
0417_03,1,1,1,18,0,2,59,0,0,0,0,0,0,Enifik Unhearfus,1,0
0425_01,2,0,5,96,0,2,37,0,1094,2,26,34,1,Blesh Fiha,0,1157
0425_02,2,1,5,96,0,2,3,0,0,0,0,0,0,Cowns Fiha,1,0
0425_03,2,1,5,96,0,2,31,0,0,0,0,0,0,Ree Fiha,1,0
0428_01,1,0,2,16,1,2,29,0,0,4118,0,715,3139,Chargin Chocaters,1,7972
0429_01,1,0,0,5,1,0,20,0,2,10116,0,2,225,Aino Ineysive,1,10345
0429_02,1,1,0,5,1,0,46,0,0,0,0,0,0,Taurak Ineysive,1,0
0430_01,0,0,5,75,1,2,29,0,0,1026,0,16,0,Eliana Jorden,1,1042
